drug_name,target_gene,target_type,target_pathway,source,gdsc_name
Axitinib,PDGFRA,primary,RTK signaling,GDSC,Axitinib
Axitinib,KIT,secondary,RTK signaling,GDSC,Axitinib
Axitinib,KDR,secondary,RTK signaling,GDSC,Axitinib
AZD7762,CHEK1,primary,Cell cycle,GDSC,AZD7762
AZD7762,CHEK2,secondary,Cell cycle,GDSC,AZD7762
GW441756,NTRK1,primary,RTK signaling,GDSC,GW441756
Lestauritinib,NA,NA,NA,not_found,NA
SNX-2112,HSP90AA1,primary,Protein stability and degradation,GDSC,SNX-2112
THZ-2-102-1,CDK7,primary,Cell cycle,GDSC,THZ-2-102-1
SB216763,GSK3A,primary,WNT signaling,GDSC,SB216763
SB216763,GSK3B,secondary,WNT signaling,GDSC,SB216763
Erlotinib,EGFR,primary,EGFR signaling,GDSC,Erlotinib
Rapamycin,MTOR,primary,PI3K/MTOR signaling,GDSC,Rapamycin
Sunitinib,PDGFRA,primary,RTK signaling,GDSC,Sunitinib
Sunitinib,KIT,secondary,RTK signaling,GDSC,Sunitinib
Sunitinib,KDR,secondary,RTK signaling,GDSC,Sunitinib
Sunitinib,FLT3,secondary,RTK signaling,GDSC,Sunitinib
Sunitinib,RET,secondary,RTK signaling,GDSC,Sunitinib
Sunitinib,CSF1R,secondary,RTK signaling,GDSC,Sunitinib
PHA-665752,MET,primary,RTK signaling,GDSC,PHA-665752
MG-132,PROTEASOME,primary,Protein stability and degradation,GDSC,MG-132
MG-132,CAPN1,secondary,Protein stability and degradation,GDSC,MG-132
Paclitaxel,MICROTUBULE STABILISER,primary,Mitosis,GDSC,Paclitaxel
Cyclopamine,SMO,primary,Other,GDSC,Cyclopamine
AZ628,BRAF,primary,ERK MAPK signaling,GDSC,AZ628
Sorafenib,PDGFRA,primary,RTK signaling,GDSC,Sorafenib
Sorafenib,KIT,secondary,RTK signaling,GDSC,Sorafenib
Sorafenib,KDR,secondary,RTK signaling,GDSC,Sorafenib
Sorafenib,BRAF,secondary,RTK signaling,GDSC,Sorafenib
Tozasertib,AURKA,primary,Mitosis,GDSC,Tozasertib
Tozasertib,AURKB,secondary,Mitosis,GDSC,Tozasertib
Tozasertib,AURKC,secondary,Mitosis,GDSC,Tozasertib
Tozasertib,OTHERS,secondary,Mitosis,GDSC,Tozasertib
Imatinib,ABL1,primary,"Other, kinases",GDSC,Imatinib
Imatinib,KIT,secondary,"Other, kinases",GDSC,Imatinib
Imatinib,PDGFRA,secondary,"Other, kinases",GDSC,Imatinib
NVP-TAE684,ALK,primary,RTK signaling,GDSC,NVP-TAE684
Crizotinib,MET,primary,RTK signaling,GDSC,Crizotinib
Crizotinib,ALK,secondary,RTK signaling,GDSC,Crizotinib
Crizotinib,ROS1,secondary,RTK signaling,GDSC,Crizotinib
Saracatinib,ABL1,primary,"Other, kinases",GDSC,Saracatinib
Saracatinib,SRC,secondary,"Other, kinases",GDSC,Saracatinib
S-Trityl-L-cysteine,KIF11,primary,Mitosis,GDSC,S-Trityl-L-cysteine
Z-LLNle-CHO,GAMMA-SECRETASE,primary,Other,GDSC,Z-LLNle-CHO
Dasatinib,ABL1,primary,RTK signaling,GDSC,Dasatinib
Dasatinib,SRC,secondary,RTK signaling,GDSC,Dasatinib
Dasatinib,EPHRINS,secondary,RTK signaling,GDSC,Dasatinib
Dasatinib,PDGFRA,secondary,RTK signaling,GDSC,Dasatinib
Dasatinib,KIT,secondary,RTK signaling,GDSC,Dasatinib
GNF-2,BCR-ABL,primary,ABL signaling,GDSC,GNF-2
CGP-60474,CDK1,primary,Cell cycle,GDSC,CGP-60474
CGP-60474,CDK2,secondary,Cell cycle,GDSC,CGP-60474
CGP-60474,CDK5,secondary,Cell cycle,GDSC,CGP-60474
CGP-60474,CDK7,secondary,Cell cycle,GDSC,CGP-60474
CGP-60474,CDK9,secondary,Cell cycle,GDSC,CGP-60474
CGP-60474,PKC,secondary,Cell cycle,GDSC,CGP-60474
CGP-082996,CDK4,primary,Cell cycle,GDSC,CGP-082996
A-770041,LCK,primary,"Other, kinases",GDSC,A-770041
A-770041,FYN,secondary,"Other, kinases",GDSC,A-770041
WH-4-023,SRC,primary,"Other, kinases",GDSC,WH-4-023
WH-4-023,LCK,secondary,"Other, kinases",GDSC,WH-4-023
WZ-1-84,BMX,primary,"Other, kinases",GDSC,WZ-1-84
BI-2536,PLK1,primary,Cell cycle,GDSC,BI-2536
BI-2536,PLK2,secondary,Cell cycle,GDSC,BI-2536
BI-2536,PLK3,secondary,Cell cycle,GDSC,BI-2536
BMS-536924_repl_62,IGF1R,primary,IGF1R signaling,GDSC,BMS-536924
BMS-536924_repl_62,IR,secondary,IGF1R signaling,GDSC,BMS-536924
BMS-509744,ITK,primary,"Other, kinases",GDSC,BMS-509744
CMK,RSK2,primary,"Other, kinases",GDSC,CMK
Pyrimethamine,DIHYDROFOLATE REDUCTASE (DHFR),primary,Other,GDSC,Pyrimethamine
JW-7-52-1,MTOR,primary,PI3K/MTOR signaling,GDSC,JW-7-52-1
A-443654,AKT1,primary,PI3K/MTOR signaling,GDSC,A-443654
A-443654,AKT2,secondary,PI3K/MTOR signaling,GDSC,A-443654
A-443654,AKT3,secondary,PI3K/MTOR signaling,GDSC,A-443654
GW843682X,PLK1,primary,Cell cycle,GDSC,GW843682X
Entinostat,HDAC1,primary,Chromatin histone acetylation,GDSC,Entinostat
Entinostat,HDAC3,secondary,Chromatin histone acetylation,GDSC,Entinostat
Parthenolide,HDAC1,primary,Chromatin histone acetylation,GDSC,Parthenolide
GSK319347A,IKK,primary,"Other, kinases",GDSC,GSK319347A
TGX221,PI3KBETA,primary,PI3K/MTOR signaling,GDSC,TGX221
Bortezomib,PROTEASOME,primary,Protein stability and degradation,GDSC,Bortezomib
XMD8-85,ERK5,primary,Other,GDSC,XMD8-85
XMD8-85,BET,secondary,Other,GDSC,XMD8-85
Seliciclib,CDK2,primary,Cell cycle,GDSC,Seliciclib
Seliciclib,CDK7,secondary,Cell cycle,GDSC,Seliciclib
Seliciclib,CDK9,secondary,Cell cycle,GDSC,Seliciclib
Salubrinal,EIF2A,primary,Other,GDSC,Salubrinal
Lapatinib,EGFR,primary,RTK signaling,GDSC,Lapatinib
Lapatinib,ERBB2,secondary,RTK signaling,GDSC,Lapatinib
GSK269962A_repl_127,ROCK1,primary,Cytoskeleton,GDSC,GSK269962A
GSK269962A_repl_127,ROCK2,secondary,Cytoskeleton,GDSC,GSK269962A
